serid,type,time
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00155
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Preprocess-Python,18.83329
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-PrepareLoader,0.00036
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00165
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00086
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-GeneratePatches,6.11524
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-SplitPatches,0.00033
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,1.00311
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-NoduleSegmentation,47.04397
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-DensityClassification,2.42007
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-MaliClassification,7.32516
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissurePreproc,1.25641
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-SlidingWindow,9.78986
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Preprocess-Cpp,110.81479
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-PatchPrediction,13.89309
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-MergeResult,0.17313
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation,1.25641
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-PostProcessingAndDetection,26.54572
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungSeg-StageOneLungSegPrediction,0.25014
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungSeg-LungSegPrediction,0.13253
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Preprocess-Python,56.47099
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-PrepareLoader,0.00042
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-GeneratePatches,5.06390
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-SplitPatches,0.06863
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-2ModelPredict,101.94010
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-2ModelGetPbb,2.44491
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Concat,0.00037
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-2ModelPredict,98.90280
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-2ModelGetPbb,2.12363
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Concat,0.00029
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Dbscan,44.39465
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Relocate,0.00649
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-AirwayModel,0.70538
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00065
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00107
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00094
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00101
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00095
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00121
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Dbscan,20.59586
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Relocate,0.00865
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,1.01308
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00154
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-AirwayModel,0.97090
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00068
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00160
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00129
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00184
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00065
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00115
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00143
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-NoduleSegmentation,41.42024
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-DensityClassification,1.17187
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-MaliClassification,3.55571
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissurePreproc,1.49084
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00095
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,1.00277
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-SlidingWindow,6.72051
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00086
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00195
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00124
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-PatchPrediction,12.93261
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-MergeResult,0.24034
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation,1.49084
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00159
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00166
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,1.00315
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-PostProcessingAndDetection,17.57247
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00152
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungSeg-StageOneLungSegPrediction,0.14901
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungSeg-LungSegPrediction,0.07586
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-NoduleSegmentation,54.33516
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-DensityClassification,1.53067
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-MaliClassification,4.21804
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissurePreproc,1.56059
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-SlidingWindow,27.92014
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-PatchPrediction,14.58355
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-MergeResult,0.26125
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation,1.56059
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-PostProcessingAndDetection,52.23409
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungSeg-StageOneLungSegPrediction,0.14655
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungSeg-LungSegPrediction,0.06767
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Preprocess-Cpp,72.76428
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Preprocess-Python,27.07791
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-PrepareLoader,0.00028
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-GeneratePatches,4.94236
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-SplitPatches,0.02480
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Preprocess-Cpp,113.62589
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Preprocess-Cpp,134.41125
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Preprocess-Python,21.49910
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-PrepareLoader,0.00044
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-GeneratePatches,6.42320
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-SplitPatches,0.05025
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-2ModelPredict,86.46776
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-2ModelGetPbb,1.69630
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Concat,0.00015
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Preprocess-Python,65.66932
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-PrepareLoader,0.00038
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-GeneratePatches,4.58349
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-SplitPatches,0.04574
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Preprocess-Cpp,27.65016
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Dbscan,15.22332
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Relocate,0.00827
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Preprocess-Python,26.15870
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-PrepareLoader,0.00048
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Preprocess-Cpp,109.87219
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-GeneratePatches,4.65658
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-SplitPatches,0.00039
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-AirwayModel,2.31869
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00084
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00109
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,1.00548
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00099
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00296
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00156
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00161
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00187
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00308
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Preprocess-Python,53.89459
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-PrepareLoader,0.00039
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00195
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-GeneratePatches,4.82466
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-SplitPatches,0.03702
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00183
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-2ModelPredict,128.16748
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00138
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-2ModelGetPbb,2.20222
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Concat,0.00045
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00162
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00192
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00138
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,1.00342
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00158
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Preprocess-Cpp,79.31104
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00141
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-NoduleSegmentation,60.74711
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-DensityClassification,9.43797
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-MaliClassification,16.33042
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissurePreproc,1.05934
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-SlidingWindow,11.32489
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-2ModelPredict,143.08157
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-2ModelGetPbb,2.22486
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Concat,0.00039
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-2ModelPredict,109.26035
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-2ModelGetPbb,1.44328
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-Concat,0.00017
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-PatchPrediction,15.79820
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-MergeResult,0.17292
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation,1.05934
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Dbscan,39.48864
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Detection-Relocate,0.00651
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-Dbscan,14.82063
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-Relocate,0.00289
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-AirwayModel,1.13529
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00073
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-AirwayModel,0.53362
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-FpAreaCheck,0.00066
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Preprocess-Python,64.79949
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-PrepareLoader,0.00034
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-PostProcessingAndDetection,27.35744
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-FpAreaCheck,0.00102
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungSeg-StageOneLungSegPrediction,0.29148
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungSeg-LungSegPrediction,0.13346
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-FpAreaCheck,0.00165
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00189
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-GeneratePatches,4.15257
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-SplitPatches,0.00021
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-NoduleSegmentation,4.78375
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-DensityClassification,0.51016
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-MaliClassification,1.51006
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Dbscan,24.61627
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Relocate,0.00605
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissurePreproc,0.59026
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00186
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-2ModelPredict,105.48522
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-2ModelGetPbb,1.97116
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Concat,0.00029
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00212
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-SlidingWindow,8.81949
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-AirwayModel,1.15302
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00060
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Dbscan,4.76576
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Relocate,0.08599
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00165
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,1.00225
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-AirwayModel,1.15496
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-FpAreaCheck,0.00073
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00157
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00133
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-FpAreaCheck,0.00114
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-PatchPrediction,12.25293
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-MergeResult,0.24868
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation,0.59026
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00113
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00083
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-FpAreaCheck,0.00101
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00118
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,1.00301
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-FpAreaCheck,0.00159
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00105
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00185
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-NoduleSegmentation,17.52851
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-DensityClassification,0.87708
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-MaliClassification,1.89477
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00103
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissurePreproc,2.09407
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-PostProcessingAndDetection,18.94304
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungSeg-StageOneLungSegPrediction,0.12861
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungSeg-LungSegPrediction,0.02421
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00189
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,1.00345
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00189
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-NoduleSegmentation,51.03348
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-DensityClassification,2.53669
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-MaliClassification,4.69106
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissurePreproc,1.32963
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00316
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-SlidingWindow,8.52522
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,1.00409
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-SlidingWindow,23.81856
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00267
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00102
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Preprocess-Cpp,54.25027
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-PatchPrediction,11.87221
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-MergeResult,0.30814
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation,2.09407
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00105
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-2ModelPredict,84.69781
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-2ModelGetPbb,1.76592
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-Concat,0.00020
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-PatchPrediction,21.40231
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-MergeResult,0.26678
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation,1.32963
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-NoduleSegmentation,69.74424
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-DensityClassification,2.93999
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-MaliClassification,6.07982
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissurePreproc,2.47720
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Preprocess-Python,24.17062
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-PrepareLoader,0.02274
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-PostProcessingAndDetection,23.25425
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-GeneratePatches,11.28011
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-SplitPatches,0.00041
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungSeg-StageOneLungSegPrediction,0.23446
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungSeg-LungSegPrediction,0.09775
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-SlidingWindow,36.42398
